seq,kf,swing_prev,render_real,real_real,render_render,render_realmaskRenderRGB,occ
AP12,0050,5.250304735060181,173.8245605151852,0.6640808918176108,0.44527299346557236,2.0112324984558683,0.9677933165557007
AP12,0081,6.218344997984163,128.38990837167887,0.8931002441386784,0.4382055877993451,0.8904867474365147,0.9655299627871167
AP12,0108,4.154350390864272,103.46416770486285,0.580609545302748,0.4692528224782274,0.18622739060629181,1.0140346480373421
AP12,0226,3.7865136529424315,3.782729367594572,1.2842739347678092,0.2796816395182503,1.5965237883900125,0.9490365309900655
AP12,0276,6.13401268073097,3.174256008119211,1.1173671910003051,1.0028756520993105,0.11302720366169293,0.994059046726429
AP12,0325,5.8158135932828925,43.20101264834748,1.4826879781270053,0.4731994592092207,0.1527538483729882,0.9969694870640391
AP12,0694,8.470448759851168,85.25071117795025,2.1123031337149256,0.4746888491064653,0.09989059715596232,1.0297800569023972
AP12,0718,6.124865923412988,76.29323933283705,1.4132146974904674,0.7388458075041234,0.1481040858136931,1.0196591886187758
AP12,0795,6.283328432791175,12.486495959968932,1.012359756113563,0.392752106428933,0.5153405073513666,0.7874546068744194
AP12,0805,5.57367509373576,2.372932566207254,1.1787990286789616,0.11404103736660376,0.5602278860519775,0.8615836494921062
AP12,0828,5.431542227400027,8.175693332310049,3.1171654413438605,0.8893095481939609,0.21605068998548912,0.9807797087834664
AP12,1196,5.962049734626722,137.36217378677006,1.4488920468281588,0.7127758770643825,0.8305210859632425,0.9784590921513578
AP12,1204,5.242013560723224,90.42890615980542,1.088206037287804,1.0195720376014663,0.40898199508091987,0.9735392749614471
AP12,1342,5.6374130402627625,173.25049639370812,0.6864993387159323,0.39399969934696594,0.05853360846129932,0.9913513513513513
AP12,1411,5.530323451017268,168.67538276989652,0.6469178704040602,2.5251728691735433,0.29110594064619316,0.9650417074489065
MPM12,0090,7.832937388206694,130.86971855168647,0.5988449935130106,1.068547071624519,0.9085976121729096,0.8635123307419039
MPM12,0105,7.173253801448661,1.0002310905206757,3.322868198757886,0.5913374834316818,0.23144325100388632,0.8728554397968175
MPM12,0130,5.9780970411522105,2.6876399571517577,1.0550370150803465,0.7209039495195886,0.13539566961024022,0.9689578713968958
MPM12,0236,5.745868277965311,6.348251844897616,0.9995692414980072,0.7402754233743756,0.19303150097749538,0.9710439995475625
MPM12,0318,4.872983035272581,0.5405117540900511,1.1997186844414023,0.5554281932762573,0.17115645626494813,0.9498125071020037
MPM12,0381,7.13201316224808,3.9028125983409447,2.4953314351020337,0.6575517155271012,0.22050481626540747,0.9538983981065413
MPM12,0668,6.033275568753601,169.03310534387177,1.3562857919342632,0.8964673723700147,0.6282605051008553,0.7900065622949283
MPM12,0690,5.968128109924631,153.02782849884352,0.6958394018649279,0.47459403641018694,0.9489579520831775,0.7962072282534012
MPM12,0867,2.829108266143779,67.4698535926964,0.9763009588285066,2.4548575811741986,1.974543678181569,0.877107771260997
MPM12,0876,7.255129454486993,15.555030679199351,2.0892669815460607,0.350708069441338,0.6056602537199998,0.8665355950802432
MPM12,0917,4.842551266172996,148.13206930130954,1.1398172451283772,0.31060953521565793,0.2860063682745713,0.9445224401068792
MPM12,1335,7.323347874895658,71.12222139077392,1.1218044283836373,0.27131459161246774,0.21336401045257605,0.9274842865305698
MPM12,1338,4.327326363236908,43.71637082103662,2.773350668045242,0.7294380168404164,0.1385777909241559,0.948569608831803
MPM12,1455,5.477269675622485,176.8109616191122,1.5168667488946879,0.5360204542882602,0.4219524151529005,0.8955497851002865
MPM12,1566,8.606449186609579,165.44645618329784,11.358692045503373,0.5292195838292114,0.13900783926851834,0.9707787668359976
SM1,0023,27.29523565020682,151.12692068471844,4.988622489659776,3.3706420574780136,1.327753309896509,0.6216482547585707
SM1,0064,4.945119303831178,35.443643069304734,1.382263579011927,1.5005187437407626,1.2629388016121201,0.5016414141414142
SM1,0095,5.670397967475744,23.29579017216925,3.1330509696596054,0.11374009360586032,5.07619487108935,0.5191229600099664
SM1,0164,10.464005870218765,159.70173225599828,10.039645266823022,0.9307471309981205,0.12159436015353875,0.9870404411764706
SM1,0236,6.860793712106631,41.75670476531512,1.18739074766484,0.3507288586707821,0.1464538567296482,0.9756776556776556
SM1,0271,21.398614431412845,155.7488944904066,6.875818880436026,1.2065827684203796,2.139602799398809,0.6723421217470531
SM1,0484,5.340052175288988,11.717639000116785,3.1715019572609315,0.5130865914749495,0.1598456543261379,0.9577625164573177
SM1,0490,9.316018110181835,160.6547807993613,1.5484218648346255,1.3948858658035403,0.2245749369716109,0.954318369694138
SM1,0560,7.81747866163278,19.70666816811151,2.0988551411713385,1.6845003501628528,0.23937380432900976,0.9629043535862805
SM1,0562,6.797159090609063,22.0217215042782,0.7293167341044962,1.249043683264334,0.20440045166653414,0.9608364603446391
SM1,0582,7.129562339568531,2.5222285290283764,1.268774181368329,1.4735608737455546,0.13683390788868027,0.8764230418943534
SM1,0721,18.514022628924412,23.476014918374663,6.973432079653867,1.3738753926744856,0.8310828383440826,0.7209679052343829
SM1,0725,6.105603547606666,70.61854079119985,1.1937711316480122,0.9662171044610623,0.6291382996895817,0.7656998519292745
SM1,0818,7.137426983260506,9.58618009438588,0.8110176201808766,1.4726206043591348,0.7103557704629342,0.9279711884753902
SM1,0870,25.02534981124618,155.17029014841785,1.8800125725319563,1.4556487803576303,3.1762149403032574,0.5587574484712318
