START B models=MD-gt,MD-prior seqs=['AP12', 'MPM12', 'SM1'] every=1 2026-09-26 02:21:08
  B MD-gt MPM12 226/240 4.2s/kf | E-I=6.15 E-L=17.58 E-V2=31.83 E-V5b=82.21 E-V5b_r20=65.43 E-V5d=82.19 E-V5d_r20=65.65 E-V5x2=62.03 E-V5x2_r20=41.09 E-VI=62.03 E-VI_r20=44.72 | rot0 60.00
DONE B MD-gt MPM12 jobs 240 1007s | E-I=2.84/64% E-L=2.72/59% E-V2=28.85/1% E-V5b=66.03/2% E-V5b_r20=68.55/1% E-V5d=66.03/1% E-V5d_r20=68.55/2% E-V5x2=21.94/1% E-V5x2_r20=36.86/1% E-VI=28.15/7% E-VI_r20=44.21/9% | rot0 25.00
  B MD-gt SM1 1/240 4.3s/kf | E-I=6.95 E-L=6.02 E-V2=167.10 E-V5b=117.62 E-V5b_r20=47.63 E-V5d=117.65 E-V5d_r20=47.66 E-V5x2=23.41 E-V5x2_r20=160.36 E-VI=23.41 E-VI_r20=160.36 | rot0 5.00
  B MD-gt SM1 26/240 4.2s/kf | E-I=2.61 E-L=2.59 E-V2=37.03 E-V5b=48.19 E-V5b_r20=62.83 E-V5d=48.54 E-V5d_r20=62.93 E-V5x2=13.85 E-V5x2_r20=28.65 E-VI=8.67 E-VI_r20=35.34 | rot0 5.00
  B MD-gt SM1 51/240 4.3s/kf | E-I=4.22 E-L=3.47 E-V2=51.34 E-V5b=43.86 E-V5b_r20=77.02 E-V5d=43.83 E-V5d_r20=77.11 E-V5x2=15.38 E-V5x2_r20=26.40 E-VI=15.99 E-VI_r20=36.83 | rot0 5.00
  B MD-gt SM1 76/240 4.3s/kf | E-I=3.05 E-L=2.15 E-V2=38.52 E-V5b=38.16 E-V5b_r20=110.50 E-V5d=38.13 E-V5d_r20=110.56 E-V5x2=8.94 E-V5x2_r20=58.31 E-VI=9.10 E-VI_r20=89.57 | rot0 10.00
  B MD-gt SM1 101/240 4.3s/kf | E-I=2.73 E-L=3.96 E-V2=43.37 E-V5b=45.46 E-V5b_r20=72.21 E-V5d=45.38 E-V5d_r20=72.04 E-V5x2=20.03 E-V5x2_r20=34.83 E-VI=17.12 E-VI_r20=42.39 | rot0 20.00
  B MD-gt SM1 126/240 4.2s/kf | E-I=3.78 E-L=3.95 E-V2=47.05 E-V5b=55.95 E-V5b_r20=96.82 E-V5d=57.36 E-V5d_r20=96.79 E-V5x2=17.37 E-V5x2_r20=53.94 E-VI=45.30 E-VI_r20=54.92 | rot0 20.00
  B MD-gt SM1 151/240 3.3s/kf | E-I=2.77 E-L=6.15 E-V2=62.58 E-V5b=33.07 E-V5b_r20=71.78 E-V5d=33.18 E-V5d_r20=72.00 E-V5x2=21.99 E-V5x2_r20=32.73 E-VI=29.10 E-VI_r20=42.26 | rot0 30.00
  B MD-gt SM1 176/240 4.3s/kf | E-I=3.62 E-L=7.09 E-V2=42.34 E-V5b=60.62 E-V5b_r20=108.90 E-V5d=60.78 E-V5d_r20=109.08 E-V5x2=27.69 E-V5x2_r20=57.43 E-VI=26.33 E-VI_r20=57.43 | rot0 45.00
