START A models=MD-gt,MD-map seqs=['AP10', 'AP11', 'AP12', 'AP13', 'AP14', 'MPM10', 'MPM11', 'MPM12', 'MPM13', 'MPM14', 'SB11', 'SB13', 'SM1'] every=1 2026-09-26 00:34:01
  A MD-gt AP13 126/166 2.6s/kf | E-I=2.25 E-L=2.91 E-V2=108.29 E-V5b=85.16 E-V5d=85.33 E-V5x2=92.30 E-VI=92.30 | rot0 2.41
  A MD-gt AP13 151/166 2.6s/kf | E-I=1.82 E-L=2.14 E-V2=3.64 E-V5b=6.23 E-V5d=6.17 E-V5x2=3.92 E-VI=6.20 | rot0 1.79
DONE A MD-gt AP13 jobs 166 421s | E-I=2.77/54% E-L=3.84/31% E-V2=89.94/2% E-V5b=56.66/1% E-V5d=56.67/1% E-V5x2=39.68/1% E-VI=63.83/5% | rot0 2.31
  A MD-gt AP14 1/167 2.6s/kf | E-I=3.95 E-L=4.16 E-V2=44.56 E-V5b=156.82 E-V5d=157.18 E-V5x2=8.50 E-VI=3.55 | rot0 0.00
  A MD-gt AP14 26/167 2.5s/kf | E-I=3.64 E-L=6.41 E-V2=96.35 E-V5b=49.38 E-V5d=49.55 E-V5x2=30.70 E-VI=40.42 | rot0 1.92
  A MD-gt AP14 51/167 2.5s/kf | E-I=2.18 E-L=3.45 E-V2=118.73 E-V5b=66.42 E-V5d=66.85 E-V5x2=22.52 E-VI=24.77 | rot0 3.07
  A MD-gt AP14 76/167 2.7s/kf | E-I=1.45 E-L=2.73 E-V2=66.15 E-V5b=41.54 E-V5d=41.48 E-V5x2=14.74 E-VI=56.43 | rot0 3.61
  A MD-gt AP14 101/167 1.5s/kf | E-I=1.21 E-L=13.69 E-V2=71.97 E-V5b=52.12 E-V5d=52.48 E-V5x2=86.40 E-VI=75.94 | rot0 2.18
  A MD-gt AP14 126/167 2.6s/kf | E-I=1.87 E-L=4.97 E-V2=123.64 E-V5b=112.33 E-V5d=112.41 E-V5x2=75.46 E-VI=75.46 | rot0 1.56
  A MD-gt AP14 151/167 2.6s/kf | E-I=2.01 E-L=2.97 E-V2=126.57 E-V5b=96.80 E-V5d=96.90 E-V5x2=61.88 E-VI=89.83 | rot0 1.20
DONE A MD-gt AP14 jobs 167 418s | E-I=1.92/76% E-L=4.69/31% E-V2=104.95/0% E-V5b=75.91/0% E-V5d=76.04/0% E-V5x2=40.42/0% E-VI=54.54/7% | rot0 1.80
  A MD-gt MPM10 1/237 2.5s/kf | E-I=1.77 E-L=0.65 E-V2=174.81 E-V5b=165.74 E-V5d=165.73 E-V5x2=4.64 E-VI=4.64 | rot0 0.00
  A MD-gt MPM10 26/237 2.5s/kf | E-I=4.57 E-L=2.55 E-V2=111.87 E-V5b=130.83 E-V5d=130.83 E-V5x2=19.24 E-VI=23.31 | rot0 2.40
  A MD-gt MPM10 51/237 2.4s/kf | E-I=4.02 E-L=5.31 E-V2=44.96 E-V5b=81.38 E-V5d=81.25 E-V5x2=90.43 E-VI=90.43 | rot0 14.52
  A MD-gt MPM10 76/237 1.4s/kf | E-I=2.50 E-L=2.85 E-V2=100.80 E-V5b=65.70 E-V5d=65.65 E-V5x2=65.15 E-VI=65.15 | rot0 14.20
  A MD-gt MPM10 101/237 1.4s/kf | E-I=2.88 E-L=2.59 E-V2=160.93 E-V5b=157.84 E-V5d=157.88 E-V5x2=22.39 E-VI=13.09 | rot0 3.81
  A MD-gt MPM10 126/237 2.4s/kf | E-I=6.25 E-L=4.03 E-V2=86.12 E-V5b=88.40 E-V5d=88.43 E-V5x2=38.16 E-VI=76.35 | rot0 6.64
  A MD-gt MPM10 151/237 2.6s/kf | E-I=2.42 E-L=2.42 E-V2=173.16 E-V5b=173.52 E-V5d=173.55 E-V5x2=3.64 E-VI=11.20 | rot0 4.82
  A MD-gt MPM10 176/237 1.5s/kf | E-I=4.01 E-L=4.69 E-V2=111.94 E-V5b=159.00 E-V5d=158.94 E-V5x2=20.87 E-VI=41.97 | rot0 6.69
  A MD-gt MPM10 201/237 2.5s/kf | E-I=5.15 E-L=5.63 E-V2=54.51 E-V5b=60.03 E-V5d=60.00 E-V5x2=59.72 E-VI=59.72 | rot0 6.26
  A MD-gt MPM10 226/237 2.4s/kf | E-I=3.09 E-L=2.84 E-V2=103.24 E-V5b=107.66 E-V5d=107.60 E-V5x2=109.32 E-VI=109.32 | rot0 3.66
DONE A MD-gt MPM10 jobs 237 566s | E-I=3.76/38% E-L=3.37/43% E-V2=97.95/0% E-V5b=104.75/1% E-V5d=104.70/1% E-V5x2=33.65/1% E-VI=55.46/6% | rot0 5.81
  A MD-gt MPM11 1/249 2.5s/kf | E-I=3.04 E-L=1.49 E-V2=172.09 E-V5b=175.53 E-V5d=175.49 E-V5x2=9.04 E-VI=137.68 | rot0 0.00
  A MD-gt MPM11 26/249 2.4s/kf | E-I=2.89 E-L=3.85 E-V2=16.46 E-V5b=37.38 E-V5d=37.31 E-V5x2=6.09 E-VI=9.24 | rot0 4.59
  A MD-gt MPM11 51/249 2.4s/kf | E-I=3.84 E-L=6.66 E-V2=77.19 E-V5b=107.26 E-V5d=107.41 E-V5x2=20.32 E-VI=97.04 | rot0 7.23
  A MD-gt MPM11 76/249 1.5s/kf | E-I=2.17 E-L=3.14 E-V2=82.83 E-V5b=99.36 E-V5d=99.55 E-V5x2=9.99 E-VI=20.32 | rot0 5.18
  A MD-gt MPM11 101/249 2.4s/kf | E-I=3.85 E-L=3.10 E-V2=46.88 E-V5b=52.83 E-V5d=52.92 E-V5x2=10.42 E-VI=13.25 | rot0 5.56
  A MD-gt MPM11 126/249 2.4s/kf | E-I=2.32 E-L=2.85 E-V2=38.17 E-V5b=38.92 E-V5d=39.04 E-V5x2=15.55 E-VI=15.55 | rot0 4.08
  A MD-gt MPM11 151/249 2.4s/kf | E-I=3.31 E-L=3.28 E-V2=73.46 E-V5b=43.48 E-V5d=43.47 E-V5x2=36.64 E-VI=36.64 | rot0 5.55
  A MD-gt MPM11 176/249 2.5s/kf | E-I=4.43 E-L=3.21 E-V2=86.70 E-V5b=97.56 E-V5d=97.64 E-V5x2=103.61 E-VI=103.61 | rot0 3.02
  A MD-gt MPM11 201/249 2.4s/kf | E-I=3.03 E-L=3.43 E-V2=50.97 E-V5b=54.89 E-V5d=54.91 E-V5x2=11.47 E-VI=11.47 | rot0 7.33
  A MD-gt MPM11 226/249 1.4s/kf | E-I=3.07 E-L=3.25 E-V2=63.70 E-V5b=115.13 E-V5d=115.14 E-V5x2=8.44 E-VI=8.44 | rot0 7.40
DONE A MD-gt MPM11 jobs 249 588s | E-I=3.23/27% E-L=3.45/18% E-V2=52.43/1% E-V5b=58.53/1% E-V5d=58.56/0% E-V5x2=13.03/1% E-VI=19.27/5% | rot0 5.71
  A MD-gt MPM12 1/229 2.5s/kf | E-I=1.70 E-L=2.19 E-V2=166.68 E-V5b=158.85 E-V5d=158.96 E-V5x2=71.21 E-VI=71.21 | rot0 0.00
  A MD-gt MPM12 26/229 2.4s/kf | E-I=2.12 E-L=1.99 E-V2=17.23 E-V5b=77.40 E-V5d=77.40 E-V5x2=11.59 E-VI=16.39 | rot0 2.19
  A MD-gt MPM12 51/229 2.4s/kf | E-I=3.27 E-L=2.89 E-V2=6.37 E-V5b=107.14 E-V5d=107.09 E-V5x2=9.59 E-VI=8.76 | rot0 2.85
  A MD-gt MPM12 76/229 2.5s/kf | E-I=1.50 E-L=1.77 E-V2=8.34 E-V5b=27.79 E-V5d=27.78 E-V5x2=4.50 E-VI=2.10 | rot0 3.83
  A MD-gt MPM12 101/229 2.4s/kf | E-I=3.03 E-L=2.53 E-V2=56.27 E-V5b=65.20 E-V5d=65.08 E-V5x2=9.03 E-VI=28.38 | rot0 3.38
  A MD-gt MPM12 126/229 2.4s/kf | E-I=1.37 E-L=2.70 E-V2=138.38 E-V5b=132.14 E-V5d=132.25 E-V5x2=16.69 E-VI=16.82 | rot0 3.98
  A MD-gt MPM12 151/229 2.5s/kf | E-I=2.76 E-L=1.95 E-V2=82.28 E-V5b=96.89 E-V5d=96.97 E-V5x2=16.88 E-VI=19.29 | rot0 4.49
  A MD-gt MPM12 176/229 2.5s/kf | E-I=3.50 E-L=3.61 E-V2=34.37 E-V5b=49.88 E-V5d=49.90 E-V5x2=8.27 E-VI=5.41 | rot0 5.60
  A MD-gt MPM12 201/229 2.5s/kf | E-I=2.38 E-L=2.02 E-V2=55.32 E-V5b=73.38 E-V5d=73.29 E-V5x2=8.20 E-VI=8.20 | rot0 4.38
  A MD-gt MPM12 226/229 2.5s/kf | E-I=2.03 E-L=2.55 E-V2=154.95 E-V5b=119.41 E-V5d=119.52 E-V5x2=15.00 E-VI=27.69 | rot0 5.49
DONE A MD-gt MPM12 jobs 229 560s | E-I=2.41/75% E-L=2.39/77% E-V2=56.02/5% E-V5b=90.01/6% E-V5d=89.95/6% E-V5x2=9.60/4% E-VI=11.32/15% | rot0 4.13
  A MD-gt MPM13 1/214 2.5s/kf | E-I=0.76 E-L=2.09 E-V2=177.17 E-V5b=176.88 E-V5d=176.81 E-V5x2=2.39 E-VI=5.33 | rot0 0.00
  A MD-gt MPM13 26/214 1.5s/kf | E-I=1.37 E-L=1.63 E-V2=139.63 E-V5b=141.36 E-V5d=141.26 E-V5x2=9.84 E-VI=25.60 | rot0 2.09
  A MD-gt MPM13 51/214 2.4s/kf | E-I=1.98 E-L=2.06 E-V2=128.65 E-V5b=136.68 E-V5d=136.60 E-V5x2=6.87 E-VI=7.50 | rot0 2.25
  A MD-gt MPM13 76/214 2.4s/kf | E-I=3.14 E-L=3.51 E-V2=6.98 E-V5b=6.72 E-V5d=6.57 E-V5x2=13.20 E-VI=52.18 | rot0 4.12
  A MD-gt MPM13 101/214 2.5s/kf | E-I=2.95 E-L=2.67 E-V2=102.05 E-V5b=149.21 E-V5d=149.26 E-V5x2=5.38 E-VI=6.01 | rot0 2.18
  A MD-gt MPM13 126/214 2.4s/kf | E-I=2.94 E-L=1.32 E-V2=23.52 E-V5b=45.75 E-V5d=45.76 E-V5x2=5.80 E-VI=7.12 | rot0 1.99
  A MD-gt MPM13 151/214 2.4s/kf | E-I=3.12 E-L=4.77 E-V2=161.04 E-V5b=151.85 E-V5d=151.88 E-V5x2=25.87 E-VI=25.87 | rot0 32.97
  A MD-gt MPM13 176/214 2.4s/kf | E-I=3.25 E-L=2.73 E-V2=4.84 E-V5b=38.41 E-V5d=38.48 E-V5x2=4.27 E-VI=3.82 | rot0 3.28
  A MD-gt MPM13 201/214 2.4s/kf | E-I=2.18 E-L=2.33 E-V2=3.67 E-V5b=2.49 E-V5d=2.53 E-V5x2=3.16 E-VI=2.92 | rot0 2.01
DONE A MD-gt MPM13 jobs 214 515s | E-I=2.68/52% E-L=2.38/59% E-V2=57.78/3% E-V5b=86.82/7% E-V5d=86.88/7% E-V5x2=6.74/3% E-VI=8.05/14% | rot0 2.66
  A MD-gt MPM14 1/225 2.5s/kf | E-I=0.90 E-L=2.56 E-V2=175.77 E-V5b=177.58 E-V5d=177.58 E-V5x2=4.30 E-VI=49.30 | rot0 0.00
  A MD-gt MPM14 26/225 2.4s/kf | E-I=1.55 E-L=2.00 E-V2=97.97 E-V5b=33.23 E-V5d=33.23 E-V5x2=4.43 E-VI=5.71 | rot0 2.58
  A MD-gt MPM14 51/225 2.4s/kf | E-I=2.57 E-L=2.64 E-V2=3.58 E-V5b=4.25 E-V5d=4.37 E-V5x2=3.46 E-VI=4.87 | rot0 2.40
  A MD-gt MPM14 76/225 2.4s/kf | E-I=3.76 E-L=6.93 E-V2=110.40 E-V5b=103.20 E-V5d=103.25 E-V5x2=19.85 E-VI=41.11 | rot0 2.94
  A MD-gt MPM14 101/225 2.5s/kf | E-I=2.16 E-L=3.45 E-V2=80.38 E-V5b=104.77 E-V5d=104.88 E-V5x2=18.03 E-VI=20.91 | rot0 2.74
  A MD-gt MPM14 126/225 2.5s/kf | E-I=2.77 E-L=2.12 E-V2=39.26 E-V5b=67.53 E-V5d=67.37 E-V5x2=18.11 E-VI=35.32 | rot0 1.95
  A MD-gt MPM14 151/225 2.4s/kf | E-I=3.15 E-L=3.53 E-V2=81.09 E-V5b=59.57 E-V5d=59.52 E-V5x2=68.64 E-VI=68.64 | rot0 3.74
  A MD-gt MPM14 176/225 1.5s/kf | E-I=2.76 E-L=2.80 E-V2=50.66 E-V5b=75.44 E-V5d=75.42 E-V5x2=70.76 E-VI=70.76 | rot0 3.55
  A MD-gt MPM14 201/225 2.5s/kf | E-I=2.59 E-L=2.02 E-V2=107.08 E-V5b=60.71 E-V5d=60.78 E-V5x2=13.78 E-VI=13.78 | rot0 2.63
DONE A MD-gt MPM14 jobs 225 534s | E-I=2.59/44% E-L=2.72/46% E-V2=72.58/2% E-V5b=70.49/3% E-V5d=70.41/3% E-V5x2=14.40/2% E-VI=23.36/6% | rot0 2.72
  A MD-gt SB11 1/219 2.5s/kf | E-I=3.36 E-L=2.55 E-V2=174.75 E-V5b=160.54 E-V5d=161.15 E-V5x2=11.44 E-VI=11.44 | rot0 0.00
  A MD-gt SB11 26/219 2.4s/kf | E-I=3.49 E-L=2.92 E-V2=94.58 E-V5b=34.72 E-V5d=34.65 E-V5x2=9.69 E-VI=9.69 | rot0 3.39
  A MD-gt SB11 51/219 2.4s/kf | E-I=4.07 E-L=7.50 E-V2=155.04 E-V5b=142.31 E-V5d=142.33 E-V5x2=103.71 E-VI=108.43 | rot0 6.55
  A MD-gt SB11 76/219 1.4s/kf | E-I=2.63 E-L=2.83 E-V2=106.11 E-V5b=126.91 E-V5d=126.94 E-V5x2=20.92 E-VI=21.77 | rot0 1.57
  A MD-gt SB11 101/219 2.5s/kf | E-I=2.88 E-L=5.48 E-V2=109.72 E-V5b=44.83 E-V5d=44.90 E-V5x2=32.64 E-VI=32.64 | rot0 21.53
  A MD-gt SB11 126/219 1.4s/kf | E-I=3.22 E-L=5.49 E-V2=126.29 E-V5b=105.59 E-V5d=105.55 E-V5x2=18.89 E-VI=18.89 | rot0 6.84
  A MD-gt SB11 151/219 2.4s/kf | E-I=3.83 E-L=4.02 E-V2=57.53 E-V5b=40.82 E-V5d=40.87 E-V5x2=17.47 E-VI=17.51 | rot0 3.09
  A MD-gt SB11 176/219 1.5s/kf | E-I=4.11 E-L=4.95 E-V2=91.77 E-V5b=127.02 E-V5d=127.07 E-V5x2=34.25 E-VI=54.39 | rot0 2.34
  A MD-gt SB11 201/219 2.4s/kf | E-I=2.65 E-L=10.24 E-V2=54.54 E-V5b=28.79 E-V5d=28.80 E-V5x2=38.73 E-VI=38.73 | rot0 7.84
DONE A MD-gt SB11 jobs 219 521s | E-I=3.25/26% E-L=4.73/13% E-V2=96.33/0% E-V5b=73.71/0% E-V5d=73.70/0% E-V5x2=21.33/0% E-VI=21.90/2% | rot0 4.57
  A MD-gt SB13 1/207 2.5s/kf | E-I=0.83 E-L=1.98 E-V2=175.40 E-V5b=157.68 E-V5d=157.76 E-V5x2=1.85 E-VI=1.85 | rot0 0.00
  A MD-gt SB13 26/207 2.5s/kf | E-I=2.57 E-L=2.88 E-V2=109.95 E-V5b=103.47 E-V5d=103.48 E-V5x2=104.24 E-VI=104.24 | rot0 1.87
  A MD-gt SB13 51/207 2.5s/kf | E-I=2.39 E-L=2.41 E-V2=114.58 E-V5b=102.28 E-V5d=102.44 E-V5x2=56.23 E-VI=56.23 | rot0 1.86
  A MD-gt SB13 76/207 2.5s/kf | E-I=1.23 E-L=3.59 E-V2=108.76 E-V5b=47.68 E-V5d=47.70 E-V5x2=26.90 E-VI=80.04 | rot0 2.33
  A MD-gt SB13 101/207 2.5s/kf | E-I=2.01 E-L=6.21 E-V2=127.48 E-V5b=64.47 E-V5d=64.55 E-V5x2=78.49 E-VI=78.49 | rot0 21.23
  A MD-gt SB13 126/207 2.4s/kf | E-I=3.08 E-L=5.78 E-V2=78.74 E-V5b=93.20 E-V5d=93.69 E-V5x2=100.82 E-VI=116.95 | rot0 13.27
  A MD-gt SB13 151/207 2.5s/kf | E-I=1.64 E-L=1.48 E-V2=151.86 E-V5b=121.58 E-V5d=121.76 E-V5x2=53.70 E-VI=73.12 | rot0 2.82
  A MD-gt SB13 176/207 2.5s/kf | E-I=2.25 E-L=3.23 E-V2=108.75 E-V5b=74.67 E-V5d=75.12 E-V5x2=25.06 E-VI=26.21 | rot0 2.35
  A MD-gt SB13 201/207 2.5s/kf | E-I=2.69 E-L=3.98 E-V2=112.06 E-V5b=114.48 E-V5d=114.51 E-V5x2=80.74 E-VI=86.26 | rot0 6.34
DONE A MD-gt SB13 jobs 207 502s | E-I=2.29/57% E-L=3.15/39% E-V2=113.60/0% E-V5b=91.10/0% E-V5d=91.10/0% E-V5x2=62.40/0% E-VI=78.45/1% | rot0 3.24
  A MD-gt SM1 1/278 2.5s/kf | E-I=1.05 E-L=1.01 E-V2=163.34 E-V5b=81.12 E-V5d=81.75 E-V5x2=55.55 E-VI=55.55 | rot0 0.00
  A MD-gt SM1 26/278 2.5s/kf | E-I=6.42 E-L=5.95 E-V2=146.39 E-V5b=30.16 E-V5d=29.96 E-V5x2=17.49 E-VI=29.96 | rot0 7.15
  A MD-gt SM1 51/278 2.4s/kf | E-I=5.84 E-L=5.64 E-V2=104.88 E-V5b=35.38 E-V5d=35.51 E-V5x2=30.97 E-VI=30.97 | rot0 4.71
  A MD-gt SM1 76/278 2.5s/kf | E-I=1.08 E-L=1.83 E-V2=14.46 E-V5b=27.59 E-V5d=27.52 E-V5x2=6.97 E-VI=6.97 | rot0 5.55
  A MD-gt SM1 101/278 2.5s/kf | E-I=5.55 E-L=4.63 E-V2=82.03 E-V5b=98.34 E-V5d=98.64 E-V5x2=10.17 E-VI=10.73 | rot0 2.67
  A MD-gt SM1 126/278 2.5s/kf | E-I=3.83 E-L=3.69 E-V2=53.27 E-V5b=17.02 E-V5d=17.04 E-V5x2=16.39 E-VI=16.39 | rot0 2.50
  A MD-gt SM1 151/278 2.5s/kf | E-I=1.72 E-L=1.47 E-V2=24.06 E-V5b=46.99 E-V5d=46.93 E-V5x2=10.04 E-VI=10.04 | rot0 2.61
  A MD-gt SM1 176/278 2.5s/kf | E-I=2.63 E-L=1.82 E-V2=13.16 E-V5b=20.53 E-V5d=20.55 E-V5x2=8.19 E-VI=6.88 | rot0 4.39
  A MD-gt SM1 201/278 2.5s/kf | E-I=4.45 E-L=3.73 E-V2=70.68 E-V5b=84.04 E-V5d=84.02 E-V5x2=11.50 E-VI=11.50 | rot0 3.71
  A MD-gt SM1 226/278 2.5s/kf | E-I=4.78 E-L=3.69 E-V2=110.24 E-V5b=10.56 E-V5d=10.51 E-V5x2=25.96 E-VI=25.96 | rot0 3.71
  A MD-gt SM1 251/278 1.5s/kf | E-I=1.97 E-L=1.41 E-V2=36.88 E-V5b=23.31 E-V5d=23.42 E-V5x2=8.85 E-VI=10.23 | rot0 3.83
  A MD-gt SM1 276/278 2.5s/kf | E-I=4.46 E-L=3.50 E-V2=74.29 E-V5b=86.29 E-V5d=86.12 E-V5x2=16.29 E-VI=20.22 | rot0 4.26
DONE A MD-gt SM1 jobs 278 667s | E-I=3.36/49% E-L=3.12/54% E-V2=54.69/0% E-V5b=33.55/1% E-V5d=33.41/1% E-V5x2=14.11/0% E-VI=16.25/9% | rot0 3.90
  A MD-map AP10 1/177 3.0s/kf | E-I=0.98 E-L=0.44 E-V2=16.00 E-V5b=144.64 E-V5d=146.58 E-V5x2=124.36 E-VI=124.36 | rot0 0.00
  A MD-map AP10 26/177 4.4s/kf | E-I=1.47 E-L=1.75 E-V2=3.46 E-V5b=14.57 E-V5d=14.64 E-V5x2=13.65 E-VI=11.06 | rot0 1.47
  A MD-map AP10 51/177 3.6s/kf | E-I=7.88 E-L=8.56 E-V2=15.10 E-V5b=126.48 E-V5d=126.40 E-V5x2=25.10 E-VI=30.65 | rot0 6.72
  A MD-map AP10 76/177 2.6s/kf | E-I=5.42 E-L=5.78 E-V2=61.03 E-V5b=38.13 E-V5d=37.97 E-V5x2=35.83 E-VI=51.01 | rot0 7.32
  A MD-map AP10 101/177 2.7s/kf | E-I=2.94 E-L=3.31 E-V2=6.11 E-V5b=17.26 E-V5d=17.71 E-V5x2=6.61 E-VI=8.23 | rot0 2.91
  A MD-map AP10 126/177 2.7s/kf | E-I=5.71 E-L=5.73 E-V2=8.03 E-V5b=15.34 E-V5d=15.25 E-V5x2=16.21 E-VI=45.51 | rot0 6.58
  A MD-map AP10 151/177 2.8s/kf | E-I=6.22 E-L=5.55 E-V2=7.02 E-V5b=14.13 E-V5d=14.30 E-V5x2=15.12 E-VI=18.77 | rot0 6.23
  A MD-map AP10 176/177 2.7s/kf | E-I=7.60 E-L=15.73 E-V2=60.15 E-V5b=114.26 E-V5d=114.98 E-V5x2=38.81 E-VI=88.08 | rot0 18.81
DONE A MD-map AP10 jobs 177 533s | E-I=5.33/36% E-L=5.26/33% E-V2=10.36/5% E-V5b=21.83/1% E-V5d=21.84/1% E-V5x2=21.16/0% E-VI=25.77/11% | rot0 6.10
  A MD-map AP11 1/177 2.6s/kf | E-I=11.62 E-L=10.47 E-V2=13.65 E-V5b=19.07 E-V5d=19.25 E-V5x2=146.88 E-VI=146.88 | rot0 0.00
  A MD-map AP11 26/177 2.8s/kf | E-I=15.45 E-L=11.88 E-V2=11.23 E-V5b=11.91 E-V5d=11.35 E-V5x2=10.41 E-VI=18.14 | rot0 2.84
