Warp CUDA error 100: no CUDA-capable device is detected (in function init_cuda_driver, /builds/omniverse/warp/warp/native/cuda_util.cpp:308)
[probe] GT rotations orthonormalized (max element change 3.54e-08)
M-O/I1 ho3d/SM1: n=277 rot snapref/C1/C2 = 5.07/3.90/3.77  trans = 57.0/27.4/26.0  win 30%
| 설정 | seq | 새 KF | chain+R-online 기준 rot° | C1 rot° | C2 rot° | trans mm | C1 trans | C2 trans | rot<C1 KF 비율 |
| M-V/I0/chain | MPM13 | 213 | 5.13 | 2.67 | 2.37 | 47.4 | 19.7 | 18.7 | 17 % |
| M-V/I0/chain | MPM14 | 224 | 6.32 | 2.73 | 2.60 | 55.3 | 21.4 | 20.0 | 17 % |
| M-V/I0/chain | SB11 | 218 | 9.48 | 4.58 | 3.77 | 91.5 | 45.6 | 39.9 | 22 % |
| M-V/I0/chain | SB13 | 206 | 5.72 | 3.25 | 3.03 | 44.4 | 24.0 | 21.9 | 23 % |
| M-V/I0/chain | SM1 | 277 | 5.52 | 3.90 | 3.77 | 38.7 | 27.4 | 26.0 | 25 % |
| M-V/I1/chain | AP10 | 176 | 7.26 | 6.10 | 5.56 | 43.2 | 31.6 | 27.8 | 31 % |
| M-V/I1/chain | AP11 | 176 | 7.40 | 7.18 | 10.27 | 81.5 | 83.3 | 115.0 | 48 % |
| M-V/I1/chain | AP12 | 170 | 4.22 | 2.03 | 3.07 | 32.0 | 16.4 | 23.0 | 14 % |
| M-V/I1/chain | AP13 | 165 | 3.18 | 2.31 | 2.19 | 26.6 | 19.8 | 18.7 | 33 % |
| M-V/I1/chain | AP14 | 166 | 3.83 | 1.81 | 2.05 | 25.5 | 12.5 | 13.7 | 22 % |
| M-V/I1/chain | MPM10 | 236 | 9.86 | 5.82 | 4.85 | 68.6 | 31.0 | 30.6 | 23 % |
| M-V/I1/chain | MPM11 | 248 | 6.49 | 5.72 | 8.01 | 67.2 | 46.6 | 72.6 | 35 % |
| M-V/I1/chain | MPM12 | 228 | 4.59 | 4.13 | 5.87 | 25.3 | 19.7 | 25.7 | 38 % |
| M-V/I1/chain | MPM13 | 213 | 3.43 | 2.67 | 2.37 | 34.0 | 19.7 | 18.7 | 33 % |
| M-V/I1/chain | MPM14 | 224 | 3.67 | 2.73 | 2.60 | 32.1 | 21.4 | 20.0 | 25 % |
| M-V/I1/chain | SB11 | 218 | 7.83 | 4.58 | 3.77 | 80.6 | 45.6 | 39.9 | 29 % |
| M-V/I1/chain | SB13 | 206 | 4.74 | 3.25 | 3.03 | 36.2 | 24.0 | 21.9 | 33 % |
| M-V/I1/chain | SM1 | 277 | 5.17 | 3.90 | 3.77 | 38.5 | 27.4 | 26.0 | 24 % |
| M-V/I1/chain | bleach0 | 32 | 20.61 | 19.91 | 24.37 | 240.2 | 214.0 | 208.7 | 28 % |
| M-V/I1/chain | bleach_hard_00_03_chaitanya | 35 | 8.30 | 4.90 | 4.20 | 84.2 | 32.7 | 29.7 | 23 % |
| M-V/I1/chain | cracker_box_reorient | 19 | 5.27 | 5.23 | 5.36 | 81.1 | 39.7 | 48.5 | 32 % |
| M-V/I1/chain | cracker_box_yalehand0 | 37 | 6.63 | 6.81 | 8.38 | 72.4 | 66.5 | 78.1 | 43 % |
| M-V/I1/chain | mustard0 | 36 | 5.55 | 6.40 | 4.62 | 68.5 | 68.4 | 44.7 | 56 % |
| M-V/I1/chain | mustard_easy_00_02 | 31 | 5.38 | 3.99 | 3.78 | 57.4 | 35.0 | 32.2 | 35 % |
| M-V/I1/chain | sugar_box1 | 42 | 7.48 | 5.91 | 6.27 | 87.7 | 61.8 | 67.9 | 48 % |
| M-V/I1/chain | sugar_box_yalehand0 | 42 | 5.77 | 6.91 | 7.04 | 62.5 | 71.9 | 68.2 | 69 % |
| M-V/I1/chain | tomato_soup_can_yalehand0 | 215 | 26.63 | 32.57 | 35.97 | 263.9 | 307.9 | 359.3 | 49 % |
| M-V/I2/chain | AP12 | 170 | 5.04 | 2.03 | 3.07 | 34.8 | 16.4 | 23.0 | 10 % |
| M-V/I2/chain | MPM10 | 236 | 9.35 | 5.82 | 4.85 | 62.1 | 31.0 | 30.6 | 27 % |
| M-V/I2/chain | mustard0 | 36 | 6.52 | 6.40 | 4.62 | 76.6 | 68.4 | 44.7 | 50 % |
| **M-O/I0/chain 평균 ho3d** | 13 seq | | 7.10 | 4.02 | 4.42 | 101.5 | 30.7 | 34.9 | 0/13 seq |
| **M-O/I1/chain 평균 ho3d** | 13 seq | | 5.55 | 4.02 | 4.42 | 65.3 | 30.7 | 34.9 | 0/13 seq |
| **M-O/I1/chain 평균 ycb** | 9 seq | | 11.02 | 10.29 | 11.11 | 162.5 | 99.8 | 104.1 | 2/9 seq |
| **M-O/I2/chain 평균 ho3d** | 2 seq | | 7.77 | 3.92 | 3.96 | 67.9 | 23.7 | 26.8 | 0/2 seq |
| **M-O/I2/chain 평균 ycb** | 1 seq | | 8.27 | 6.40 | 4.62 | 85.2 | 68.4 | 44.7 | 0/1 seq |
| **M-V/I0/chain 평균 ho3d** | 13 seq | | 6.26 | 4.02 | 4.42 | 51.2 | 30.7 | 34.9 | 1/13 seq |
| **M-V/I1/chain 평균 ho3d** | 13 seq | | 5.51 | 4.02 | 4.42 | 45.5 | 30.7 | 34.9 | 0/13 seq |
| **M-V/I1/chain 평균 ycb** | 9 seq | | 10.18 | 10.29 | 11.11 | 113.1 | 99.8 | 104.1 | 4/9 seq |
| **M-V/I2/chain 평균 ho3d** | 2 seq | | 7.19 | 3.92 | 3.96 | 48.5 | 23.7 | 26.8 | 0/2 seq |
| **M-V/I2/chain 평균 ycb** | 1 seq | | 6.52 | 6.40 | 4.62 | 76.6 | 68.4 | 44.7 | 0/1 seq |
